model,model_key,family,lambda,split,runs,acc_mean,acc_std,tol1_acc_mean,tol1_acc_std,ang_mae_deg_mean,ang_mae_deg_std,fr_mean,fr_std,spikes_per_sample_mean,spikes_per_sample_std,synops_per_sample_mean,synops_per_sample_std,best_val_epoch_mean,best_val_epoch_std,best_val_acc_mean,best_val_acc_std,best_val_ang_mae_deg_mean,best_val_ang_mae_deg_std,best_val_fr_mean,best_val_fr_std,best_val_synops_per_sample_mean,best_val_synops_per_sample_std,params_kb_est,setting_label
CRNNBaseline,crnn,crnn,0.0,noisy,3,0.6795833333333333,0.05033222956847166,0.96125,0.0066143782776614925,3.8166376813252767,0.6391881883292717,0.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,0.5773502691896258,0.9712500000000001,0.008196798155377464,1.395168514251709,0.06754216015801963,0.0,0.0,0.0,0.0,1642.140625,CRNNBaseline
ConvRecSNN,conv_snn,snn,0.3,noisy,3,0.80125,0.0340266439720405,0.9904166666666666,0.003145764348029456,2.6127245076497396,0.26753671821010566,0.05636389419436455,0.0027616173276400775,6071.067916666667,297.4593149184787,1171887.6516666666,58090.336525023726,3.0,1.0,0.9708333333333333,0.01953895681282226,1.2706786235173544,0.03802815685745994,0.05120059246818224,0.0031806912530609214,1064662.3916666666,66575.17571547528,774.90234375,ConvRecSNN (lambda=3e-01)
FlatLIFSNN,flat_snn,snn,0.1,noisy,3,0.7420833333333333,0.03000867930005141,0.9758333333333334,0.0026020824993326815,3.6282338523864746,0.15301270471580902,0.37566821694374086,0.004211826248795247,3173.6450000000004,35.581497320412076,241791.58666666667,3263.7191872935846,2.3333333333333335,0.5773502691896258,0.9820833333333333,0.015728821740147395,1.2918824418385824,0.0665467260932392,0.3996009516716003,0.00594574257277002,262443.7816666667,5079.784181405583,388.640625,FlatLIFSNN (lambda=1e-01)
GCCPHATLSBaseline,gccphat_ls,classical,0.0,noisy,3,0.6829166666666667,0.01063112568514421,0.9812500000000001,0.0021650635094611625,3.867736854553223,0.11635289719474745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7283333333333334,0.007107800878846627,2.8283930905659993,0.03881343091785028,0.0,0.0,0.0,0.0,0.0,GCCPHATLSBaseline
