model,model_key,family,lambda,split,runs,acc_mean,acc_std,tol1_acc_mean,tol1_acc_std,ang_mae_deg_mean,ang_mae_deg_std,fr_mean,fr_std,spikes_per_sample_mean,spikes_per_sample_std,synops_per_sample_mean,synops_per_sample_std
CRNNBaseline,crnn,crnn,0.0,clean,3,0.9708333333333332,0.00938194187433146,1.0,0.0,1.4115601285298665,0.040919000124861486,0.0,0.0,0.0,0.0,0.0,0.0
CRNNBaseline,crnn,crnn,0.0,noisy,3,0.6795833333333333,0.05033222956847166,0.96125,0.0066143782776614925,3.8166376813252767,0.6391881883292717,0.0,0.0,0.0,0.0,0.0,0.0
ConvRecSNN,conv_snn,snn,0.0,clean,3,0.9866666666666667,0.011614466553971976,1.0,0.0,1.2636687072118125,0.07522513281011806,0.05378079429268837,0.003360211634633422,5792.837083333333,361.9351157587103,1118746.875,70107.46859012549
ConvRecSNN,conv_snn,snn,0.03,clean,3,0.9862500000000001,0.010897247358851652,1.0,0.0,1.301302490234375,0.0694473928887395,0.05497057239214579,0.004318273346008079,5920.9904166666665,465.1298535125927,1143635.32,89269.7301274495
ConvRecSNN,conv_snn,snn,0.1,clean,3,0.9745833333333334,0.007216878364870297,1.0,0.0,1.305482398668925,0.06359284130673704,0.05321971128384272,0.0028478698655429358,5732.401666666668,306.749784551507,1107189.69,59115.060173053775
ConvRecSNN,conv_snn,snn,0.3,clean,3,0.9670833333333334,0.01821457749532864,1.0,0.0,1.2570954195658366,0.03963252878922047,0.05126386667291324,0.0032852010638923126,5521.733749999999,353.855588002984,1066002.1933333334,68755.75054458945
ConvRecSNN,conv_snn,snn,1.0,clean,3,0.98,0.015612494995996044,1.0,0.0,1.2637779458363851,0.06396263660796501,0.05228936016559601,0.0023650267609511572,5632.191666666667,254.74175224115857,1087805.6766666668,49599.4826530725
ConvRecSNN,conv_snn,snn,0.0,noisy,3,0.7975,0.04655306112384021,0.9908333333333333,0.0036084391824351483,2.6914352575937905,0.18691590813551387,0.05840938751896222,0.002997343456394293,6291.392083333333,322.8498721308341,1214784.59,62562.21611998666
ConvRecSNN,conv_snn,snn,0.03,noisy,3,0.8445833333333334,0.017514874630819816,0.995,0.003750000000000003,2.5921074867248532,0.14295184893036472,0.06084384625156721,0.004338454969669505,6553.6125,467.30368567152055,1265711.2416666667,90380.76107850042
ConvRecSNN,conv_snn,snn,0.1,noisy,3,0.80375,0.0021650635094611305,0.9933333333333333,0.0019094065395649958,2.8314445368448893,0.12562656650128712,0.058254526108503346,0.0022814238958636115,6274.711666666667,245.7367414669011,1211764.0999999999,47417.161564570364
