model,model_key,family,lambda,runs,best_val_epoch_mean,best_val_epoch_std,best_val_acc_mean,best_val_acc_std,best_val_ang_mae_deg_mean,best_val_ang_mae_deg_std,best_val_fr_mean,best_val_fr_std,best_val_synops_per_sample_mean,best_val_synops_per_sample_std
CRNNBaseline,crnn,crnn,0.0,3,2.6666666666666665,0.5773502691896258,0.9712500000000001,0.008196798155377464,1.395168514251709,0.06754216015801963,0.0,0.0,0.0,0.0
ConvRecSNN,conv_snn,snn,0.3,3,3.0,1.0,0.9708333333333333,0.01953895681282226,1.2706786235173544,0.03802815685745994,0.05120059246818224,0.0031806912530609214,1064662.3916666666,66575.17571547528
ConvRecSNN,conv_snn,snn,0.0,3,3.6666666666666665,1.1547005383792515,0.9845833333333333,0.013825550019197627,1.2941739892959594,0.06978922567341729,0.05371843680739403,0.0032568626818284085,1117417.3933333333,67952.00547465724
ConvRecSNN,conv_snn,snn,1.0,3,4.0,1.7320508075688772,0.9791666666666666,0.016971176545346956,1.2965332492192585,0.027178565172213075,0.05222852642337481,0.0022690663036955654,1086538.5283333333,47592.88117736478
ConvRecSNN,conv_snn,snn,0.03,3,4.0,0.0,0.9862500000000001,0.009762812094883383,1.3141086467107137,0.05564670112596549,0.05485780611634255,0.004167565473431462,1141270.82,86168.85981591417
ConvRecSNN,conv_snn,snn,0.1,3,3.3333333333333335,0.5773502691896258,0.9770833333333333,0.006291528696058993,1.3397320747375485,0.04821575817894611,0.053162131011486057,0.0027226407139583075,1105989.2083333333,56510.32499104832
FlatLIFSNN,flat_snn,snn,0.1,3,2.3333333333333335,0.5773502691896258,0.9820833333333333,0.015728821740147395,1.2918824418385824,0.0665467260932392,0.3996009516716003,0.00594574257277002,262443.7816666667,5079.784181405583
FlatLIFSNN,flat_snn,snn,0.3,3,2.3333333333333335,0.5773502691896258,0.9870833333333332,0.006291528696058993,1.2982726653416952,0.07163279925163363,0.36815771102905276,0.0025153728128413048,245114.295,3905.1801176514214
FlatLIFSNN,flat_snn,snn,1.0,3,3.0,0.0,0.9916666666666667,0.008036375634160792,1.3030095211664836,0.03870749813631842,0.28133853952089943,0.0025223169142161678,188579.84833333336,2415.410883029713
FlatLIFSNN,flat_snn,snn,0.03,3,2.6666666666666665,0.5773502691896258,0.9883333333333333,0.008779711460710635,1.3543304824829103,0.06081945416961048,0.41326765179634095,0.00818940592592577,270912.97500000003,7904.181416522536
FlatLIFSNN,flat_snn,snn,0.0,3,2.6666666666666665,0.5773502691896258,0.9916666666666667,0.010103629710818492,1.3806387217839557,0.028331569122242044,0.41861620426177976,0.0037351016940610163,275799.7166666666,793.4252082952546
GCCPHATLSBaseline,gccphat_ls,classical,0.0,3,0.0,0.0,0.7283333333333334,0.007107800878846627,2.8283930905659993,0.03881343091785028,0.0,0.0,0.0,0.0
