model,model_key,lambda,run_seed,epoch,lr,phase,loss,cls_loss,reg_loss,acc,tol1_acc,ang_mae_deg,fr,spikes_per_sample,synops_per_sample
ConvRecSNN,conv_snn,0.1,274,4,0.0006500000000000003,val,0.550008053779602,0.544145586490631,0.005862473528832197,0.97375,1.0,1.402609610557556,0.05862473413348198,6314.5875,1219969.575
ConvRecSNN,conv_snn,0.1,274,5,0.0003205771365940052,train,0.697249195098877,0.6910105876922608,0.006238607257604599,0.931,0.99475,2.2254565925598144,0.06238607186079025,6719.72875,1298145.201
ConvRecSNN,conv_snn,0.1,274,5,0.0003205771365940052,val,0.49816095948219297,0.49208616256713866,0.006074797734618187,0.9975,1.0,1.3978816699981689,0.060747977048158645,6543.28625,1264496.15
ConvRecSNN,conv_snn,0.1,274,6,0.0002,train,0.6336565580368042,0.6273562150001526,0.006300343930721283,0.956,0.9955,2.099785575866699,0.06300343835353851,6786.2265,1311873.847
ConvRecSNN,conv_snn,0.1,274,6,0.0002,val,0.4808068072795868,0.4746287262439728,0.006178081277757883,0.9975,1.0,1.5034351205825807,0.06178081154823303,6654.535,1286931.395
ConvRecSNN,conv_snn,0.3,274,1,0.001879422863405995,train,2.0588249225616453,2.0401373682022093,0.018687562942504884,0.4365,0.772,14.018087387084961,0.06229187387228012,6709.5825,1293843.827
ConvRecSNN,conv_snn,0.3,274,1,0.001879422863405995,val,1.025237421989441,1.008467025756836,0.016770398542284966,0.8325,1.0,1.6951146459579467,0.055901325941085815,6021.24375,1162240.525
ConvRecSNN,conv_snn,0.3,274,2,0.0015500000000000002,train,1.1026677370071412,1.0856972455978393,0.01697049605846405,0.782,0.993,2.5039550342559815,0.05656831738352776,6093.08675,1175983.057
ConvRecSNN,conv_snn,0.3,274,2,0.0015500000000000002,val,0.6947810173034668,0.6786214065551758,0.01615961320698261,0.95,1.0,1.25147789478302,0.05386537566781044,5801.9475,1119868.31
ConvRecSNN,conv_snn,0.3,274,3,0.0011,train,0.8918951625823974,0.8748899474143982,0.017005214244127275,0.86425,0.9925,2.233784942626953,0.056684045135974886,6105.552,1178494.44
ConvRecSNN,conv_snn,0.3,274,3,0.0011,val,0.5980773329734802,0.5809956192970276,0.017081718295812606,0.9775,1.0,1.371479263305664,0.05693905815482139,6133.02,1183034.765
ConvRecSNN,conv_snn,0.3,274,4,0.0006500000000000003,train,0.782878125667572,0.7652323036193848,0.017645821928977967,0.9085,0.9935,2.107243580818176,0.05881940358877182,6335.55575,1222824.397
ConvRecSNN,conv_snn,0.3,274,4,0.0006500000000000003,val,0.5314797186851501,0.5140589928627014,0.01742072992026806,0.995,1.0,1.3615420007705687,0.05806909754872322,6254.73875,1208082.03
ConvRecSNN,conv_snn,0.3,274,5,0.0003205771365940052,train,0.6998881678581238,0.6816531438827514,0.018235026240348815,0.94275,0.996,2.0443950061798097,0.06078341859579086,6547.10375,1264462.133
ConvRecSNN,conv_snn,0.3,274,5,0.0003205771365940052,val,0.5049331116676331,0.4869431710243225,0.017989941984415055,0.99875,1.0,1.4182421636581422,0.05996647149324417,6459.10875,1247926.945
ConvRecSNN,conv_snn,0.3,274,6,0.0002,train,0.6464162859916687,0.6275821595191956,0.018834125444293023,0.95875,0.99575,2.0417665119171144,0.06278041565418244,6762.20425,1306593.836
